1
20
21
24
5

15000
15
1.5
10
1
1
10000

1125.0, 2000.0, 1000.0, 0.0, 1500.0, 2250.0, 750.0, 1000.0, 1750.0, 1000.0, 1250.0, 750.0, 500.0, 1500.0, 500.0, 2250.0, 1250.0, 0.0, 750.0, 1250.0, 2000.0
2512.5, 1000.0, 2000.0, 2000.0, 750.0, 2000.0, 500.0, 1500.0, 1250.0, 2250.0, 750.0, 2000.0, 2250.0, 1000.0, 1250.0, 500.0, 2000.0, 750.0, 1250.0, 1250.0, 1250.0

(0,0)
(1,8)
(1,20)
(2,9)
(2,11)
(2,16)
(3,12)
(3,18)
(4,10)
(4,13)
(4,8)
(6,13)
(7,18)
(7,19)
(8,13)
(8,20)
(9,11)
(9,16)
(10,13)
(10,15)
(11,12)
(11,19)
(13,19)
(13,18)
(14,18)
