1
20
21
27
2

30000
15
1.5
10
1
1
10000

-37.01, 77.95, -57.28, 260.05, -276.59, 195.18, 70.35, 100.22, 512.43, -284.31, -485.86, -444.31, 212.21, 528.87, 219.45, -602.89, -585.11, -272.18, 335.65, 89.36, 406.82
909.81, 66.24, 59.65, 135.57, 51.58, -296.88, -347.36, 468.23, 184.53, 194.21, 34.17, -230.83, -428.58, -253.36, -575.97, -516.11, -733.01, 453.51, 489.99, 659.81, 584.62

(0,0)
(1,4)
(1,2)
(1,3)
(1,5)
(2,4)
(2,6)
(3,7)
(3,8)
(4,9)
(4,10)
(4,11)
(5,6)
(5,14)
(5,12)
(5,13)
(6,16)
(6,15)
(7,18)
(7,17)
(7,19)
(7,20)
(8,13)
(9,17)
(10,11)
(11,15)
(12,14)
(15,16)
