1
25
26
30
10

30000
15
1.5
10
1
1
10000

-429.54545454545456, 2045.4545454545455, 2454.545454545455, 2045.4545454545455, 2454.545454545455, 2045.4545454545455, 1636.3636363636365, 2454.545454545455, 2454.545454545455, 2045.4545454545455, 2863.636363636364, 2863.636363636364, 2863.636363636364, 1636.3636363636365, 818.1818181818182, 818.1818181818182, 2863.636363636364, 1227.2727272727275, 1636.3636363636365, 2863.636363636364, 2045.4545454545455, 409.0909090909091, 818.1818181818182, 0.0, 409.0909090909091, 2045.4545454545455
2250.0, 2045.4545454545455, 2045.4545454545455, 2454.545454545455, 1636.3636363636365, 2863.636363636364, 2454.545454545455, 2454.545454545455, 2863.636363636364, 1636.3636363636365, 1636.3636363636365, 1227.2727272727275, 818.1818181818182, 2863.636363636364, 1636.3636363636365, 818.1818181818182, 2045.4545454545455, 2454.545454545455, 3681.818181818182, 2863.636363636364, 4500.0, 818.1818181818182, 0.0, 818.1818181818182, 409.0909090909091, 3681.818181818182

(0,0)
(1,2)
(1,3)
(1,9)
(2,16)
(2,7)
(2,4)
(3,7)
(3,6)
(3,5)
(4,10)
(4,9)
(5,8)
(5,13)
(5,25)
(6,17)
(6,13)
(7,8)
(8,19)
(10,16)
(10,11)
(11,12)
(13,18)
(14,15)
(15,21)
(15,22)
(16,19)
(18,25)
(20,25)
(21,23)
(21,24)
