1
40
41
70
10

30000
15
1.5
10
1
1
10000

2221.6464347882725, 2399.687508902796, 3464.318969192145, 4108.434465803703, 2335.827161919357, 821.1020603336358, 1455.4490165069797, 2975.6690122019545, 992.1868156353669, 1427.3436596302752, 3918.4741373782754, 785.3079268860479, 2019.1591708769781, 2082.0466416260183, 1969.670429083172, 0.0, 1062.598864891939, 920.0199778318066, 1912.5658005104026, 350.39304455763624, 1330.7648607997048, 1950.4503321333825, 3085.2468903976455, 3387.9697843004656, 3354.618620862053, 2148.0331974603428, 781.7927111304672, 2931.1386714592413, 1173.570063430992, 2207.553809699289, 3713.1631613815653, 3121.4732541459666, 2334.018872421521, 4088.6151297724714, 4344.947591112451, 4443.292869576545, 4117.232381721006, 1729.6943393817871, 3912.2271001131326, 4277.68362074559, 4347.634602776117
2250.0, 1775.9887109975973, 3951.0712177836326, 500.7301350112838, 2233.691179831154, 40.86725424463008, 3434.560040765855, 2328.465515533705, 4282.2767912111385, 3819.6243329741724, 0.0, 3325.4034364343815, 2942.018740725913, 3883.5855134709823, 3446.9001499892715, 719.007755601668, 2076.2595229573644, 1816.0764176557211, 634.7352286276398, 1057.8360131136385, 1510.075802459091, 387.43894003638735, 3287.3146538219517, 1351.6546986070805, 2959.7056365287226, 2629.5918989247984, 596.3996263302852, 3597.5910655846383, 3939.597284691865, 506.71124737447866, 3039.0003031087444, 4493.477890415399, 3499.71249026119, 1431.7387449612872, 4500.0, 265.2192720527652, 2302.0216569090207, 3226.5334396676944, 3913.60852012932, 3831.055239192354, 1976.3741369395143

(0,0)
(1,4)
(1,7)
(2,27)
(2,31)
(2,38)
(2,30)
(2,22)
(3,10)
(3,35)
(4,7)
(4,25)
(5,26)
(5,15)
(6,9)
(6,11)
(6,14)
(6,28)
(6,37)
(8,9)
(8,28)
(9,13)
(9,14)
(9,28)
(10,35)
(10,40)
(10,26)
(11,37)
(11,19)
(11,26)
(11,25)
(11,17)
(12,14)
(12,25)
(12,32)
(12,37)
(13,14)
(13,32)
(13,31)
(14,32)
(14,37)
(15,19)
(16,17)
(16,20)
(17,20)
(18,21)
(18,29)
(18,26)
(18,23)
(19,26)
(20,25)
(20,40)
(21,29)
(22,24)
(22,27)
(22,30)
(23,29)
(24,30)
(24,32)
(25,40)
(26,40)
(27,32)
(31,38)
(31,34)
(32,36)
(32,40)
(33,40)
(34,39)
(35,39)
(36,40)
(38,39)
