1
25
26
40
10

30000
15
1.5
10
1
1
10000

1968.75, 0.0, 562.5, 1125.0, 1687.5, 2250.0, 2812.5, 3375.0, 3937.5, 3375.0, 3937.5, 1687.5, 1687.5, 562.5, 3375.0, 3375.0, 3375.0, 2250.0, 3375.0, 2250.0, 3937.5, 3937.5, 2812.5, 1125.0, 3937.5, 2250.0
2250.0, 2812.5, 2812.5, 2812.5, 2812.5, 2812.5, 2812.5, 2812.5, 2812.5, 3375.0, 2250.0, 3375.0, 1687.5, 3375.0, 1687.5, 4500.0, 562.5, 3375.0, 0.0, 3937.5, 1687.5, 4500.0, 2250.0, 3375.0, 562.5, 4500.0

(0,0)
(1,2)
(1,13)
(2,3)
(2,13)
(2,23)
(2,14)
(3,4)
(3,11)
(3,23)
(4,5)
(4,11)
(4,17)
(5,6)
(5,17)
(5,22)
(6,7)
(6,9)
(6,17)
(6,22)
(7,8)
(7,9)
(7,10)
(7,22)
(8,9)
(8,10)
(10,14)
(10,20)
(11,17)
(11,19)
(11,23)
(13,23)
(13,25)
(14,20)
(14,22)
(15,21)
(16,18)
(16,24)
(17,19)
(18,24)
(19,25)
